Gene	NAD.count	total.count
AT1G01100	11	24
AT1G02160	2	2
AT1G03130	3	13
AT1G03600	2	3
AT1G03680	1	7
AT1G04410	1	4
AT1G04433	1	2
AT1G05347	1	3
AT1G05805	1	1
AT1G05835	1	2
AT1G05850	2	12
AT1G06680	12	112
AT1G07590	1	17
AT1G07750	1	1
AT1G07770	1	3
AT1G07820	2	6
AT1G07890	6	53
AT1G08380	28	105
AT1G08580	1	1
AT1G08640	1	1
AT1G09130	3	3
AT1G09310	2	22
AT1G09560	2	3
AT1G09590	1	2
AT1G09690	1	4
AT1G09927	1	2
AT1G11910	2	10
AT1G12090	4	10
AT1G12310	1	1
AT1G12320	1	2
AT1G13060	3	6
AT1G13440	2	17
AT1G14980	1	3
AT1G15120	1	1
AT1G15270	1	3
AT1G15820	1	29
AT1G16840	5	5
AT1G17860	1	3
AT1G18080	1	1
AT1G19400	4	8
AT1G19910	2	2
AT1G20340	8	70
AT1G20580	1	1
AT1G20810	2	4
AT1G21500	1	8
AT1G23040	1	1
AT1G23260	2	2
AT1G23290	5	6
AT1G23300	5	6
AT1G23740	2	3
AT1G25275	3	3
AT1G27730	1	1
AT1G27950	2	4
AT1G29930	4	101
AT1G30230	2	4
AT1G30380	5	31
AT1G31580	18	59
AT1G31812	1	8
AT1G32060	1	10
AT1G32470	2	2
AT1G33810	1	2
AT1G41880	6	10
AT1G43560	1	3
AT1G45474	4	6
AT1G48350	1	4
AT1G49410	2	2
AT1G49750	1	1
AT1G50320	1	3
AT1G50900	1	2
AT1G51400	2	26
AT1G52230	6	20
AT1G53670	2	2
AT1G55152	1	1
AT1G55160	1	4
AT1G55670	10	68
AT1G55673	4	15
AT1G56500	3	3
AT1G57660	2	4
AT1G57860	2	3
AT1G57990	1	1
AT1G58380	1	1
AT1G58684	1	2
AT1G58983	1	2
AT1G59359	1	2
AT1G60950	9	42
AT1G61520	6	126
AT1G61780	1	3
AT1G64710	2	2
AT1G65490	6	12
AT1G66100	1	2
AT1G66130	1	1
AT1G66240	2	12
AT1G67090	62	262
AT1G67740	2	24
AT1G67860	1	1
AT1G68530	2	4
AT1G68660	2	2
AT1G69460	1	1
AT1G69980	1	1
AT1G70410	1	10
AT1G70490	12	12
AT1G70850	3	11
AT1G70890	1	5
AT1G71695	1	1
AT1G71970	1	1
AT1G72020	2	2
AT1G72430	1	3
AT1G73330	1	5
AT1G73885	1	2
AT1G74470	1	10
AT1G74880	1	2
AT1G75350	1	4
AT1G75810	1	2
AT1G76050	2	2
AT1G76080	1	4
AT1G76100	2	10
AT1G76200	1	5
AT1G77440	2	2
AT1G77450	1	1
AT1G78040	3	3
AT1G78060	1	1
AT1G78380	1	4
AT1G78870	4	4
AT1G79040	5	79
AT1G79075	1	2
AT1G79850	1	2
AT1G80440	1	3
AT2G01520	3	7
AT2G01530	1	1
AT2G02050	1	1
AT2G02510	1	1
AT2G04410	1	1
AT2G05070	5	45
AT2G05100	12	61
AT2G05380	14	130
AT2G05440	12	52
AT2G05520	15	114
AT2G06520	22	83
AT2G06850	2	8
AT2G08665	4	68
AT2G14560	2	2
AT2G14900	1	1
AT2G15970	1	8
AT2G19790	1	1
AT2G20260	1	4
AT2G20270	2	2
AT2G20820	2	3
AT2G21330	3	72
AT2G21580	2	4
AT2G23090	2	4
AT2G25080	2	2
AT2G25210	1	1
AT2G25510	7	12
AT2G26070	2	2
AT2G26500	2	22
AT2G26975	1	1
AT2G27385	6	6
AT2G27710	4	19
AT2G28840	2	2
AT2G29310	4	4
AT2G29340	4	4
AT2G30570	24	50
AT2G30860	3	9
AT2G31090	1	1
AT2G31490	2	2
AT2G31810	3	3
AT2G32580	2	2
AT2G33040	1	2
AT2G34070	2	2
AT2G34420	4	68
AT2G34430	2	32
AT2G34480	4	8
