Gene	NAD.count	total.count
AT1G01100.1	3	7
AT1G01100.2	3	7
AT1G01100.3	2	3
AT1G01100.4	3	7
AT1G02160.1	1	1
AT1G02160.2	1	1
AT1G03130.1	3	13
AT1G03600.1	2	3
AT1G03680.1	1	7
AT1G04410.1	1	4
AT1G04433.1	1	2
AT1G05347.1	1	3
AT1G05805.1	1	1
AT1G05835.1	1	2
AT1G05850.1	1	6
AT1G05850.2	1	6
AT1G06680.1	6	56
AT1G06680.2	6	56
AT1G07590.1	1	17
AT1G07750.1	1	1
AT1G07770.1	1	3
AT1G07820.1	1	3
AT1G07820.2	1	3
AT1G07890.1	1	8
AT1G07890.2	1	8
AT1G07890.4	1	7
AT1G07890.5	1	8
AT1G07890.7	1	8
AT1G07890.8	1	7
AT1G08380.1	28	105
AT1G08580.1	1	1
AT1G08640.1	1	1
AT1G09130.1	1	1
AT1G09130.2	1	1
AT1G09130.3	1	1
AT1G09310.1	2	22
AT1G09560.1	2	3
AT1G09590.1	1	2
AT1G09690.1	1	4
AT1G09927.1	1	2
AT1G11910.1	1	5
AT1G11910.2	1	5
AT1G12090.1	4	10
AT1G12310.1	1	1
AT1G12320.1	1	2
AT1G13060.1	1	2
AT1G13060.2	1	2
AT1G13060.3	1	2
AT1G13440.1	2	10
AT1G14980.1	1	2
AT1G15120.1	1	1
AT1G15270.1	1	3
AT1G15820.1	1	29
AT1G16840.1	1	1
AT1G16840.2	1	1
AT1G16840.3	1	1
AT1G16840.4	1	1
AT1G16840.5	1	1
AT1G17860.1	1	3
AT1G18080.1	1	1
AT1G19400.1	1	2
AT1G19400.2	1	2
AT1G19400.3	1	2
AT1G19400.4	1	2
AT1G19910.1	1	1
AT1G19910.2	1	1
AT1G20340.1	8	70
AT1G20580.1	1	1
AT1G20810.1	1	2
AT1G20810.2	1	2
AT1G21500.1	1	8
AT1G23040.1	1	1
AT1G23260.1	1	1
AT1G23260.2	1	1
AT1G23290.1	5	6
AT1G23300.1	5	6
AT1G23740.1	2	3
AT1G25275.1	1	1
AT1G25275.2	1	1
AT1G25275.3	1	1
AT1G27730.1	1	1
AT1G27950.1	2	4
AT1G29930.1	4	101
AT1G30230.1	1	2
AT1G30230.2	1	2
AT1G30380.1	5	31
AT1G31580.1	18	59
AT1G31812.1	1	8
AT1G32060.1	1	10
AT1G32470.1	2	2
AT1G33810.1	1	2
AT1G41880.1	3	5
AT1G41880.2	3	5
AT1G43560.1	1	3
AT1G45474.1	2	3
AT1G45474.2	2	3
AT1G48350.1	1	4
AT1G49410.1	2	2
AT1G49750.1	1	1
AT1G50320.1	1	3
AT1G50900.1	1	2
AT1G51400.1	2	26
AT1G52230.1	6	20
AT1G53670.1	1	1
AT1G53670.2	1	1
AT1G55152.1	1	1
AT1G55160.1	1	2
AT1G55670.1	10	68
AT1G55673.1	4	15
AT1G56500.1	1	1
AT1G56500.2	1	1
AT1G56500.3	1	1
AT1G57660.1	2	4
AT1G57860.1	2	3
AT1G57990.1	1	1
AT1G58380.1	1	1
AT1G58684.1	1	2
AT1G58983.1	1	2
AT1G59359.1	1	2
AT1G60950.1	9	42
AT1G61520.1	2	50
AT1G61520.2	2	50
AT1G61520.3	2	26
AT1G61780.1	1	3
AT1G64710.1	1	1
AT1G64710.2	1	1
AT1G65490.1	2	4
AT1G65490.2	2	4
AT1G65490.3	2	4
AT1G66100.1	1	2
AT1G66130.1	1	1
AT1G66240.1	1	5
AT1G66240.2	1	5
AT1G67090.1	34	138
AT1G67090.2	28	124
AT1G67740.1	2	24
AT1G67860.1	1	1
AT1G68530.1	1	2
AT1G68530.2	1	2
AT1G68660.1	1	1
AT1G68660.2	1	1
AT1G69460.1	1	1
AT1G69980.1	1	1
AT1G70410.2	1	4
AT1G70490.1	1	1
AT1G70490.2	2	2
AT1G70490.3	2	2
AT1G70490.4	2	2
AT1G70490.5	1	1
AT1G70490.6	2	2
AT1G70490.7	2	2
AT1G70850.1	1	4
AT1G70850.2	1	4
AT1G70850.3	1	3
AT1G70890.1	1	5
AT1G71695.1	1	1
AT1G71970.1	1	1
AT1G72020.1	2	2
AT1G72430.1	1	3
AT1G73330.1	1	5
AT1G73885.1	1	2
AT1G74470.1	1	10
AT1G74880.1	1	2
AT1G75350.1	1	4
AT1G75810.1	1	2
AT1G76050.1	1	1
AT1G76050.2	1	1
AT1G76080.1	1	4
AT1G76100.1	1	5
AT1G76100.2	1	5
AT1G76200.1	1	5
AT1G77440.1	1	1
AT1G77440.2	1	1
AT1G77450.1	1	1
AT1G78040.1	1	1
AT1G78040.2	1	1
AT1G78040.3	1	1
AT1G78060.1	1	1
